Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,son,Version1,TOI_Text1,1,文章45_1,,SV_Text_画面1,第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,,,77507,435830,,6838,253.0,71.0,492.0,27,572.0,263.0,"第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本","第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本",2.30154,6767,260.0,78.0,492.0,26,572.0,263.0,2.29996,7562,945.0,71.0,2723.0,8,572.0,2723.0,7873,984.0,149.0,2766.0,8,529.0,2766.0,0,,,0,,,17,529.0,4374.0,153.59,83.52,,,1,第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,Sentence,1.0,0.0,0.0,0.0,,6838.0,0.0,0.0
Recording1,son,Version1,TOI_Text1,1,文章45_1,,SV_Text_画面1,定住外国人を正式のルートで日本に受け入れるとした場合、その人たちが日本に来た段階で、公的費用によって日本語教育を受けられるようにする必要があります。,,,77507,435830,,10598,279.0,60.0,555.0,38,372.0,157.0,"第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本","第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本",2.38647,10598,279.0,60.0,555.0,38,372.0,157.0,2.38647,11766,1471.0,157.0,4099.0,8,372.0,157.0,12061,1508.0,211.0,4120.0,8,318.0,211.0,0,,,0,,,27,318.0,529.0,111.53,153.59,,,2,定住外国人を正式のルートで日本に受け入れるとした場合、その人たちが日本に来た段階で、公的費用によって日本語教育を受けられるようにする必要があります。,Sentence,1.0,0.0,0.0,0.0,,10598.0,0.0,0.0
Recording1,son,Version1,TOI_Text1,1,文章45_1,,SV_Text_画面1,定住外国人に対してい日本で生活する上で最低限必要な日本語能力を公的に保障するという初期日本語教育の公的保障は、移民受け入れ政策の柱の1つとなるものです。,,,77507,435830,,12266,245.0,66.0,531.0,50,10778.0,178.0,"第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本","第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本",2.36331,12266,245.0,66.0,531.0,50,10778.0,178.0,2.36331,14420,2884.0,255.0,13225.0,5,10778.0,365.0,14675,2935.0,292.0,13305.0,5,10717.0,426.0,0,,,0,,,39,10717.0,11143.0,312.09,377.31,,,3,定住外国人に対してい日本で生活する上で最低限必要な日本語能力を公的に保障するという初期日本語教育の公的保障は、移民受け入れ政策の柱の1つとなるものです。,Sentence,1.0,0.0,0.0,0.0,,12266.0,0.0,0.0
Recording1,son,Version1,TOI_Text1,1,文章45_1,,SV_Text_画面1,こうした初期日本語教育は、現時点では実現のめどが立っていませんが、移民受け入れ政策を具体的に考える上では不可欠の課題であると言えます。,,,77507,435830,,13583,272.0,135.0,1030.0,50,26743.0,272.0,"第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本","第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本",2.33444,13583,272.0,135.0,1030.0,50,26743.0,272.0,2.33444,14804,1480.0,325.0,3516.0,10,26743.0,3516.0,15100,1510.0,357.0,3542.0,10,26717.0,3542.0,0,,,0,,,38,26717.0,30259.0,84.52,54.09,,,4,こうした初期日本語教育は、現時点では実現のめどが立っていませんが、移民受け入れ政策を具体的に考える上では不可欠の課題であると言えます。,Sentence,1.0,0.0,0.0,0.0,,13583.0,0.0,0.0
Recording1,son,Version1,TOI_Text1,1,文章45_1,,SV_Text_画面1,そして、<やさしい日本語>はこの課題に適したものである必要があると筆者は考えています。,,,77507,435830,,8681,241.0,3.0,419.0,36,0.0,3.0,"第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本","第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本",2.3524,8678,248.0,64.0,419.0,35,33.0,285.0,2.35236,9462,946.0,92.0,4705.0,10,0.0,318.0,9747,975.0,102.0,4773.0,10,0.0,318.0,0,,,0,,,25,35454.0,318.0,155.35,111.53,,,5,そして、<やさしい日本語>はこの課題に適したものである必要があると筆者は考えています。,Sentence,1.0,3.0,288.0,3774.0,1.0,8681.0,40224.0,39936.0
Recording1,son,Version1,TOI_Text1,1,文章45_1,,SV_Text_画面1,この考え方から、<やさしい日本語>には、（最低限）「体系的であること（体系性）」「短時間で学べること（簡潔性）」が求められます。,,,77507,435830,,3532,252.0,163.0,500.0,14,48257.0,167.0,"第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本","第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本",2.32474,3532,252.0,163.0,500.0,14,48257.0,167.0,2.32474,3864,1932.0,242.0,3622.0,2,48257.0,3622.0,3989,1995.0,297.0,3692.0,2,48187.0,3692.0,0,,,0,,,12,48187.0,51879.0,383.91,322.09,,,6,この考え方から、<やさしい日本語>には、（最低限）「体系的であること（体系性）」「短時間で学べること（簡潔性）」が求められます。,Sentence,1.0,167.0,3289.0,3532.0,1.0,3532.0,8438.0,5149.0
Recording1,son,Version1,TOI_Text1,1,文章45_1,,SV_Text_画面1,この点については、次章で詳しく述べます。,,,77507,435830,,2343,195.0,76.0,326.0,12,58000.0,254.0,"第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本","第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本",2.31812,2343,195.0,76.0,326.0,12,58000.0,254.0,2.31812,2774,2774.0,2774.0,2774.0,1,58000.0,2774.0,2807,2807.0,2807.0,2807.0,1,57968.0,2807.0,0,,,0,,,9,57968.0,60775.0,108.34,258.33,,,7,この点については、次章で詳しく述べます。,Sentence,1.0,254.0,2343.0,2343.0,0.0,2343.0,2343.0,0.0
Recording1,son,Version1,TOI_Text1,1,文章45_1,,SV_Text_画面1,<やさしい日本語>の第二の側面は、地域社会の共通言語という性格です。,,,77507,435830,,7684,256.0,82.0,572.0,30,60825.0,182.0,"第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本","第一は、「初期日本語教育の公的保障の対象としてのへ<やさしい日本語>」ということです。,本",2.34256,7684,256.0,82.0,572.0,30,60825.0,182.0,2.34256,8582,4291.0,4172.0,4410.0,2,60825.0,4172.0,8682,4341.0,4223.0,4459.0,2,60775.0,4223.0,0,,,0,,,27,60775.0,64998.0,258.33,232.55,,,8,<やさしい日本語>の第二の側面は、地域社会の共通言語という性格です。,Sentence,1.0,182.0,3764.0,7684.0,1.0,7684.0,14520.0,10755.0
Recording1,son,Version1,TOI_Text2,1,文章45_2,,SV_Text_画面2,外国人が地域社会で生活するようになったとき、地域社会の日本人（日本語母語話者）との間でコミュニケーションをするための言語（「地域社会の共通言語」）が必要になります。,,,57327,513337,,527,264.0,95.0,432.0,2,224.0,95.0,"先に見たところから明らかなように、英語はこうした言語にはなり得ません。,は","先に見たところから明らかなように、英語はこうした言語にはなり得ません。,は",2.38992,527,264.0,95.0,432.0,2,224.0,95.0,2.38992,553,553.0,553.0,553.0,1,224.0,553.0,612,612.0,612.0,612.0,1,165.0,612.0,0,,,0,,,1,165.0,777.0,217.53,125.56,,,1,外国人が地域社会で生活するようになったとき、地域社会の日本人（日本語母語話者）との間でコミュニケーションをするための言語（「地域社会の共通言語」）が必要になります。,Sentence,1.0,0.0,0.0,0.0,,527.0,0.0,0.0
Recording1,son,Version1,TOI_Text2,1,文章45_2,,SV_Text_画面2,このためのことばとして、どのようなものが考えられるでしょうか。,,,57327,513337,,2740,196.0,75.0,382.0,14,0.0,165.0,"先に見たところから明らかなように、英語はこうした言語にはなり得ません。,は","先に見たところから明らかなように、英語はこうした言語にはなり得ません。,は",2.31985,2574,198.0,75.0,382.0,13,1880.0,116.0,2.31201,2999,375.0,75.0,1705.0,8,0.0,165.0,3214,402.0,92.0,1736.0,8,0.0,165.0,0,,,0,,,5,1850.0,165.0,119.33,217.53,,,2,このためのことばとして、どのようなものが考えられるでしょうか。,Sentence,1.0,165.0,165.0,2665.0,1.0,2740.0,3192.0,3027.0
Recording1,son,Version1,TOI_Text2,1,文章45_2,,SV_Text_画面2,先に見たところから明らかなように、英語はこうした言語にはなり得ません。,,,57327,513337,,4863,286.0,87.0,856.0,17,8221.0,122.0,"先に見たところから明らかなように、英語はこうした言語にはなり得ません。,は","先に見たところから明らかなように、英語はこうした言語にはなり得ません。,は",2.2947,4446,278.0,87.0,856.0,16,8221.0,122.0,2.28968,5204,1735.0,417.0,3219.0,3,8221.0,3219.0,5298,1766.0,475.0,3243.0,3,8197.0,3243.0,0,,,0,,,14,8197.0,11440.0,104.11,118.91,,,3,先に見たところから明らかなように、英語はこうした言語にはなり得ません。,Sentence,1.0,122.0,2927.0,2927.0,0.0,4863.0,2927.0,0.0
Recording1,son,Version1,TOI_Text2,1,文章45_2,,SV_Text_画面2,次に考えられるのは、日本人が普通に（つまり、何の調整もしないで）使っている日本語を共通言語にするということです。,,,57327,513337,,4724,295.0,83.0,623.0,16,11470.0,156.0,"先に見たところから明らかなように、英語はこうした言語にはなり得ません。,は","先に見たところから明らかなように、英語はこうした言語にはなり得ません。,は",2.31451,4724,295.0,83.0,623.0,16,11470.0,156.0,2.31451,5198,2599.0,156.0,5042.0,2,11470.0,156.0,5251,2625.0,186.0,5065.0,2,11440.0,186.0,0,,,0,,,13,11440.0,18713.0,118.91,63.21,,,4,次に考えられるのは、日本人が普通に（つまり、何の調整もしないで）使っている日本語を共通言語にするということです。,Sentence,1.0,156.0,156.0,4724.0,1.0,4724.0,6317.0,6162.0
Recording1,son,Version1,TOI_Text2,1,文章45_2,,SV_Text_画面2,実は、これまではそういう考え方でした。,,,57327,513337,,1783,223.0,77.0,362.0,8,19720.0,252.0,"先に見たところから明らかなように、英語はこうした言語にはなり得ません。,は","先に見たところから明らかなように、英語はこうした言語にはなり得ません。,は",2.30222,1783,223.0,77.0,362.0,8,19720.0,252.0,2.30222,1934,645.0,289.0,848.0,3,19720.0,848.0,2013,671.0,316.0,872.0,3,19696.0,872.0,0,,,0,,,5,19696.0,20569.0,81.95,73.32,,,5,実は、これまではそういう考え方でした。,Sentence,1.0,252.0,787.0,787.0,0.0,1783.0,787.0,0.0
Recording1,son,Version1,TOI_Text2,1,文章45_2,,SV_Text_画面2,つまり、日本人の使う日本語のレベルとだいたい同じ母語話者並みの日本語が使えるようになったら、日本の社会に入れてあげましょうというのがこれまでの日本社会の考え方だったのです。,,,57327,513337,,11497,267.0,92.0,757.0,43,21824.0,381.0,"先に見たところから明らかなように、英語はこうした言語にはなり得ません。,は","先に見たところから明らかなように、英語はこうした言語にはなり得ません。,は",2.30088,11497,267.0,92.0,757.0,43,21824.0,381.0,2.30088,13194,2199.0,381.0,3560.0,6,21824.0,381.0,13454,2242.0,394.0,3605.0,6,21811.0,394.0,0,,,0,,,33,23030.0,22205.0,141.63,99.16,,,6,つまり、日本人の使う日本語のレベルとだいたい同じ母語話者並みの日本語が使えるようになったら、日本の社会に入れてあげましょうというのがこれまでの日本社会の考え方だったのです。,Sentence,1.0,381.0,381.0,3212.0,1.0,11497.0,4208.0,3827.0
