text,score
分厚いねずみ色の雲が日本を覆っている。,2.7866119623184202
停滞と衰退の積乱雲だ。,4.067162169350518
どうすれば打開できるのか？。,2.656432867050171
政治だろう。,9.145148754119873
どうすれば政治を変えられるのか？。,2.625685355880044
選挙だろう。,9.140657901763916
若者が選挙に行って世代交代を促し、政治の目を未来へと差し向けさせよう。,1.4798359585844951
選挙のたびにそんな話を聞く。,3.6964831352233887
だが、断言する。,3.9946210043770924
若者が選挙に行って「政治参加」したくらいでは何も変わらない。,1.7036103129386901
今の日本人の平均年齢は48歳くらいで、30歳未満の人口は全体の26％。,1.3575837115446727
全有権者に占める30歳未満の有権者の割合は13・1％。,1.860960094552291
21年の衆議院選挙における全投票者に占める30歳未満の投票者の割合にいたっては8・6%でしかない。,1.0069659045764379
若者は超超マイノリティである。,3.614396107196808
若者の投票率が上がって60?70代と同じくらい選挙に行くようになっても、今は超超マイノリティの若者が超マイノリティになるだけ。,0.9199861506136452
選挙で負けるマイノリティであることは変わらない。,2.5318359392029897
若者自身の行動も追い打ちをかける。,3.5642937421798706
日本の若者の投票先は高齢者の投票先とほとんど変わらないという事実だ。,1.606199256011418
20?30代の自民党支持率は、60?70代とほとんど同じかむしろ高い。,1.6048140552910892
ということは、若者たちが選挙に行ったところで選挙結果は変わらないし、政治家にプレッシャーを与えることもできない。,1.0132493900530266
もっと言えば、今の日本の政治や社会は、若者の政治参加や選挙に行くといった生ぬるい行動で変わるような、そんな甘っちょろい状況にない。,0.8338087553327734
数十年びくともしない慢性の停滞と危機に陥っており、それをひっくり返すのは錆びついて沈みゆく昭和の豪華客船を水中から引き揚げるような大事業だ。,0.7833777622630199
