sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
16.904264,11.661561,13.520607,7.2501698,14.5242,10.150632
16.958427,11.53269,13.123056,7.0680203,14.132102,10.065381
17.186882,11.497745,13.143924,6.98041,13.057055,9.935599
16.243673,11.333353,12.7539,7.002426,11.942212,9.589575
17.854513,11.45207,13.27511,7.2761464,13.711262,9.97745
17.664135,11.629599,13.249751,7.19928,13.9496355,9.893404
17.684153,11.97983,13.962803,7.7978277,13.791233,9.869717
17.295565,11.620894,13.385331,7.243449,14.208967,9.855566
16.452307,11.798177,13.403512,7.219053,13.925153,10.4470005
16.644396,12.041054,13.866541,7.3892794,14.368145,10.3157835
14.758513,11.623918,13.068751,7.2204356,13.55723,10.057324
15.515878,11.632332,13.27679,7.0819664,12.987869,9.685836
18.868752,12.585592,13.973008,7.934475,16.056015,10.307692
15.6937065,11.546902,12.976785,7.130278,13.487997,10.291994
18.29685,12.822589,14.17353,8.760071,15.804306,11.171283
16.220167,11.545421,13.260828,7.24253,14.082115,10.107852
17.062551,11.88916,13.383296,7.1879773,13.928113,10.129092
14.439114,11.295759,12.706471,6.940249,13.674125,10.32197
14.185539,11.432082,12.74267,7.0511827,13.57427,10.287793
17.413908,11.589532,13.262301,7.118903,13.364389,10.400274
15.185722,11.6585455,13.169096,7.1106944,13.699461,10.239637
17.470522,11.816136,13.011753,7.093318,12.536966,10.457122
17.294992,11.528976,13.119946,7.121079,13.597148,9.860489
