sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
17.4461,11.89569,13.776102,7.5767555,13.076905,10.152344
16.820944,11.618605,13.325141,7.098619,13.1437845,10.135944
15.622683,11.57001,12.97635,7.0070925,12.920293,10.241018
16.178658,11.790538,13.470522,7.287283,13.172944,10.035719
16.414045,11.53703,13.475031,7.292306,12.091936,9.891305
15.036973,11.484523,12.887359,6.9873075,12.885584,10.23792
15.762438,11.387805,12.893765,6.9425898,12.9982395,10.140298
15.877986,11.361133,13.109833,7.4454794,14.254014,10.35671
15.794617,11.513711,13.073163,7.0060277,12.328593,10.111171
16.27371,11.892223,13.679466,7.630449,13.105204,10.435335
16.338148,11.887378,13.134986,7.1377106,13.228353,10.448945
17.206535,11.492106,12.818328,7.1100388,12.70977,10.140176
15.659198,11.766528,13.087589,7.185936,12.017149,9.958022
17.958931,11.755409,13.574949,7.670325,13.229787,9.863431
16.617874,11.565402,13.022831,7.090287,12.839111,9.99037
17.25081,11.450485,13.404493,7.3034387,12.65389,9.495197
17.433077,12.092271,13.7195215,8.42153,15.451809,10.342335
16.91844,11.515951,13.388043,7.14215,12.549791,9.969641
14.742604,11.698776,13.228778,7.0728836,13.261227,10.253362
15.9742155,11.750634,13.418047,7.2727494,13.740029,9.773562
14.838249,11.582051,13.289855,7.100612,12.540466,10.674218
14.860066,11.705999,13.28993,7.2050967,13.857344,10.541689
