sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
18.354193,12.272282,13.6732855,7.811658,14.525659,9.8949585
13.646836,11.523292,12.980702,7.088628,13.7606535,10.030525
13.607948,11.300817,13.010741,6.9175277,13.156165,9.6180935
14.058067,11.43913,13.058284,7.009295,13.394775,10.215786
15.546209,11.460224,13.464604,7.219154,13.726814,9.663031
14.768301,11.429675,13.080093,7.072485,13.257912,10.136268
15.33272,11.405523,13.3704,6.9203696,13.365055,9.766198
15.42598,11.453824,13.004443,7.130619,13.1004925,9.883312
16.394709,11.463867,13.539393,7.264734,13.468847,9.599722
16.618652,11.602574,13.145137,7.1054482,14.412179,10.176298
16.475798,11.554317,13.21161,7.001578,12.11106,9.938218
14.531859,11.407279,12.97809,6.970942,12.783428,9.64475
13.839403,11.251395,12.877837,6.8277,13.547767,9.791463
16.161282,11.512102,13.169495,7.0593324,12.736343,9.783124
14.206282,11.377627,12.805563,6.979219,12.928139,9.4626045
16.183372,11.482953,12.743433,7.14522,13.181293,9.635741
15.762806,11.478201,12.841171,7.0349503,13.681299,9.945317
