sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
15.966215,11.636319,13.1694975,7.14901,12.115973,10.242573
16.994072,11.789168,13.600056,7.4318776,12.824127,10.889935
16.2026,11.5741005,13.370152,7.1637797,12.340206,10.1076765
16.064177,11.369172,13.051775,7.0529313,12.769363,10.384818
15.356185,11.30507,12.8313265,7.0624795,12.990008,10.735844
19.304071,12.518943,14.223363,8.696161,16.51065,10.52104
17.705229,11.500828,13.412824,7.1830883,14.736241,10.654047
15.25567,11.432448,12.962536,6.9974413,13.49839,10.40469
15.459453,11.246095,13.189605,7.059093,13.165581,10.2973175
16.394932,11.367328,13.088608,7.019486,13.836578,10.027636
15.77314,11.640459,13.47593,7.151916,14.24656,10.302055
14.294329,11.255573,13.150639,6.988177,12.741899,9.614813
16.232159,11.696904,13.54263,7.2657847,13.958859,10.043956
16.588953,11.62735,13.231265,7.116932,13.121678,9.762397
15.310093,11.498089,13.466917,7.1863523,12.729781,9.921086
15.2024765,11.665484,13.236011,7.1529045,13.301158,10.348955
15.544355,11.405126,13.037848,7.030529,12.595292,10.285756
15.486995,11.280776,12.897359,7.0218825,13.033591,10.413392
15.084118,11.396774,13.070077,7.164285,12.755744,10.280406
16.324469,11.321071,13.351451,7.1781893,13.538286,10.593243
17.015495,11.559654,13.03822,7.14631,13.161775,10.358575
14.622516,11.314786,12.887293,7.022639,13.404449,10.00747
